"PAG_NAME","DSCR"
"PDSS_ONL","Parkinson's Disease Sleep Scale (PDSS-2)"
"PENEURO","Neurological Exam"
"PET_AV133_ACQUISITION","AV-133 PET Metadata"
"PET_AV133_SBR","AV-133 PET Analysis"
"PET_TAU_ACQUISITION","TAU PET Metadata"
"PET_TAU_SUVR","TAU PET SUVR"
"PQUEST","Participant Motor Function Questionnaire"
"PQUEST_ONL","Participant Motor Function Questionnaire"
"PREGNANC","Pregnancy Test"
"PRIMDXPD","Primary Clinical Diagnosis"
"PROELIG","Prodromal Cohort Eligibility"
"PROHIST","Prodromal History"
"PRV","Derived pulse variability metrics data from digital sensor recordings"
"PULSERATE","Derived pulse metrics data from digital sensor recordings"
"QUERIES","Query Tracking"
"QUIPCS","Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease (QUIP-Current-Short)"
"RAD","Research Proxy Designation"
"RBD1Q_ONL","RBD1Q: Postuma (Acting out dreams)"
"RBD2_ONL","PPMI RBD Sleep Questionnaire"
"REMSLEEP","REM Sleep Behavior Disorder Questionnaire"
"REPPREG","Report of Pregnancy"
"RETURNNONPD_ONL","Parkinson's disease history (return study visit for non-PD cohort)"
"RETURNPD_ONL","Parkinson's disease history (return study visit for PD cohort)"
"RFQ_alcohol","alcohol"
"RFQ_Anti-Inflammatory_Medication_History","Anti-Inflammatory Medication History"
"RFQ_caffeine","caffeine"
"RFQ_calcium_channel_blocker_medication_history","calcium_channel_blocker_medication_history"
"RFQ_female_reproductive_health","female_reproductive_health"
"RFQ_FOUNDSRDX","Patient Self-reported diagnosis RFQ Found"
"RFQ_head_injury","head_injury"
"RFQ_height_and_weight","height_and_weight"
"RFQ_landing","landing"
"RFQ_occupation","occupation"
"RFQ_PARTICIPANTS","Patient Enrollment Status RFQ Found"
"RFQ_pesticides_at_work","pesticides_at_work"
"RFQ_pesticides_in_nonwork_setting","pesticides_in_nonwork_setting"
"RFQ_physical_activity","physical_activity"
"RFQ_residential","residential"
"RFQ_smoking","smoking"
"RFQ_toxicant","toxicant"
"ROCHE_QS","Roche PD Monitoring App v2 data"
"SCOPAAUT","SCOPA-AUT"
"SCREEN","Demographics"
"SCREENER_ONL","Registration information"
"SCRNFAIL","Screen Fail"
"SDM","Symbol Digit Modalities Test"
"SES_ONL","Socioeconomic status"
"SFT","Modified Semantic Fluency"
"SITE_NAMES","Site Number-Name List"
"SKBIO","Skin Biopsy"
"SLEEPMETRICS","Derived sleep metrics from digital sensor recordings"
"SLEEPSTAGE","Derived sleep stage metrics data from digital sensor recordings"
"SMOKINGHX_ONL","Smoking history"
"SOCIOECO","Socio-Economics"
"ST_CATALOG","Symptomatic Therapy replaces Visit"
"STAI","State-Trait Anxiety Inventory"
"STEPCOUNT","Derived step metrics data data from digital sensor recordings"
"SURGPD","Surgery for PD Log"
"TAUCNSNT","(Tau Substudy) Documentation of Informed Consent"
"TAUELIG","(Tau Substudy) Eligibility"
"TAUIMAG","(Tau Substudy) PI-2620 PET Imaging"
"TAUPREGNANC","(Tau Substudy) Pregnancy Test"
"TAUREPPREG","(Tau Substudy) Report of Pregnancy"
"TAUTEL","(Tau Substudy) Adverse Event Telephone Assessment"
"TEL","Adverse Event Telephone Assessment"
"TIMEZONE","Derived timezone metricsdata from digital sensor recordings"
"TMT","Trail Making A and B"
"TRANSITION_STATUS","Transitioning Participant Status"
"UPSIT","University of Pennsylvania Smell Identification Test (UPSIT)"
"VISITS_ONL","Participant-visit information"
"VISSTAT","Visit Status"
"VITAL","Vital Signs"
"PROJ196CSFCARDIONPX","PPMI Project 196 CSF Cardio NPX"
"PROJ196CSFINFNPX","PPMI Project 196 CSF INF NPX"
"PROJ196CSFONCNPX","PPMI Project 196 CSF ONC NPX"
"PROJ196CSFNEURONPX","PPMI Project 196 CSF NEU NPX"
"PROJ196PLASMACARDIONPX","PPMI Project 196 Plasma Cardio NPX"
"PROJ196PLASMAINFNPX","PPMI Project 196 Plasma INF NPX"
"PROJ196PLASMAONCNPX","PPMI Project 196 Plasma ONC NPX"
"PROJ196PLASMANEURONPX","PPMI Project 196 Plasma NEURO NPX"
"PROJ196CSFCARDIO","PPMI Project 196 CSF Cardio Counts"
"PROJ196CSFINFCOUNT","PPMI Project 196 CSF INF_Counts"
"PROJ196CSFONC","PPMI Project 196 CSF ONC_Counts"
"PROJ196CSFNEUROCOUNT","PPMI Project 196 CSF NEURO_Counts"
"PROJ196PLASMACARDIO","PPMI Project 196 Plasma CARDIO_Counts"
"PROJ196PLASMAINFCOUNT","PPMI Project 196 Plasma INF_Counts"
"PROJ196PLASMAONCCOUNTS","PPMI Project 196 Plasma ONC_Counts"
"PROJ196PLASMANEURO","PPMI Project 196 Plasma Neuro_Counts"
"PROJ151CSFPQTL","PPMI proteomics assessment in CSF"
"PROJ151CSFPQTLBATCHCOR","PPMI proteomics assessment in CSF batch corrected"
"LAB_ELAPSED","Laboratory Procedures with Elapsed Times"
"ASSAY_DEV_CATALOG","IUSM Assay Catalog (In Development)"
"IUSM_CATALOG","IUSM Assay Catalog"
"IPSC_Catalog_Metadata","Metadata of Patient Derived iPSC Cell Lines"
